"No","Title","Metadata","Summary","Points","Transcript","Issue"
"01","【T2Sセミナー】目指すのは自分の幸せ ～幸せへの矢印～（1_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"02","【T2Sセミナー動画】TEAM T2の目的と T2Sの目的（2/42）[15:01]","○","部分的","部分的","部分的","なし"
"03","【T2Sセミナー動画】目的とは何か？目的を明確にする価値（3/42）[8:31]","○","部分的","部分的","部分的","なし"
"04","【T2Sセミナー動画】脳科学から目的の重要性を学ぶ ～RASの役割～（4/42）[10:09]","○","部分的","部分的","部分的","なし"
"05","【T2Sセミナー動画】目的・目標・ビジョン 目的を明確にする6つの理由（5/42）[19:29]","○","部分的","部分的","実質的","なし"
"06","【T2Sセミナー動画】効果的に学ぶために ～学ぶ目的とは～（6/42）[30:57]","○","部分的","部分的","実質的","なし"
"07","【T2Sセミナー動画】パラダイム ～人生の変化を起こす秘訣～（7/42）[35:52]","○","部分的","部分的","実質的","なし"
"08","N/A","○","部分的","部分的","実質的","なし"
"09","【T2Sセミナー】コンフォートゾーン ～モチベーションとは？～（9_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"10","【T2Sセミナー】風の時代 ～時代の変化に対応する～（10_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"11","【T2Sセミナー】幸せの定義（基礎） 幸せになるための2つの選択（11_42）","○","テンプレ","部分的","テンプレ","文字起こしなし"
"12","【T2Sセミナー】不平不満が起こる3つの原因 四苦八苦とは？（12_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"13","【T2Sセミナー】比較が起こる理由 願望実現に必要なこと（13_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"14","【T2Sセミナー】八正道と四聖諦 ～仏教の基礎的な心理～（14_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"15","【T2Sセミナー】幸せの段階と 成長のステップ（15_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"16","【T2Sセミナー】心理学から見た幸せ 幸福感を感じる欲求の8ステップ（16_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"17","【T2Sセミナー】感情とは？ 感情が必要な理由（17_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"18","【T2Sセミナー】感情と情動の比較 感情が生まれるプロセス（18_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"19","【T2Sセミナー】感情のコントロール方法 幸福と快楽の違い（19_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"20","【T2Sセミナー】脳科学から見た幸せ ～幸せに影響する脳内物質～（20_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"21","【T2Sセミナー】量子力学から見た幸せ 素粒子の不思議な性質（21_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"22","【T2Sセミナー】コンパスシートと幸せ ～自分の幸せに向かうために～（22_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"23","【T2Sセミナー】素粒子の性質 ～フォトン、振動～（23_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"24","【T2Sセミナー】言葉の重要性 ～良い口ぐせの5つのルール～（24_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"25","【T2Sセミナー】パラレルワールド ～今の波動で10年後が決まる～（25_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"26","【T2Sセミナー】感謝がもたらす威力 感謝のメリット（26_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"27","【T2Sセミナー】幸せの性質 ～プロセスの幸せと結果の幸せ～（27_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"28","【T2Sセミナー】人が死ぬ前に 後悔する10の事（28_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"29","【T2Sセミナー】幸せの性質 幸せの攻略法（29_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"30","【T2Sセミナー】法則・原則とは 10個の目標達成能力（30_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"31","【T2Sセミナー】成功の方程式 信頼の方程式（31_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"32","【T2Sセミナー】無限大の原則 ～素粒子の世界～（32_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"33","【T2Sセミナー】潜在意識の原則 ～人の意識の3層構造～（33_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"34","【T2Sセミナー】潜在意識の原則 ～意識レベルの17段階～（34_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"35","【T2Sセミナー】顕在意識と潜在意識 ～無意識の力～（35_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"36","【T2Sセミナー】思考と現実 ～信念が人生を作る～（36_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"37","【T2Sセミナー】アファメーション ～言葉の力を活用する～（37_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"38","【T2Sセミナー】ビジュアライゼーション ～理想の人生を描く～（38_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"39","【T2Sセミナー】目標設定と達成 ～SMART原則～（39_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"40","【T2Sセミナー】習慣形成 ～21日の法則～（40_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"41","【T2Sセミナー】モチベーション ～内発的動機付けと外発的動機付け～（41_42）","○","部分的","部分的","テンプレ","文字起こしなし"
"42","【T2Sセミナー】幸せと成功へのまとめ ～実践的ステップ～（42_42）","○","部分的","部分的","テンプレ","文字起こしなし"
